Plant name (English),Parent,Country,Region - analysis,Coordinates,Status,Start of operation,Estimated BF-BOF capacity (kt steel/y),Estimated EAF capacity (kt steel/y),Estimated DRI capacity (kt sponge iron/y),Abundant RES?,CCS available?,Cheap natural gas?,Industrial cluster?,Plant Technology in 2020,Source,Excel Tab
"Jinding Heavy Industry Co., Ltd.",Fangtongzhou HAvg BF-BOF,China,China,"36.718952, 114.111677",operating,1995,3000,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hebei Xin Wu'an Steel Group Wen'an Iron and Steel Co., Ltd.","Wang Wenan (individual) 73.77%, Bai Hongxia (individual) 23%, Wu'an State-owned Assets Management Co., Ltd. 1.01%, other sharehAvg BF-BOF",China,China,"36.679431, 114.169024",operating,2003,2200,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Wu'an Mingfang Iron and Steel Co., Ltd.","Wu'an Mingfang Iron and Steel Co., Ltd. 100%: Yao Mingfang 51%, Du Chenyu 49%",China,China,"36.710754, 114.207855",operating,1984,3000,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hebei Baoxin Iron and Steel Group Co., Ltd.","Hebei Baoxin Iron and Steel Group Co., Ltd. 100%: Li Yuguo 35%, Zhou Xin 35%, Zhang Guosen 30%",China,China,"36.555205, 114.108273",operating,2002,0,0,0,0,0,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Wu'an Yongcheng Zhuye Co., Ltd.","Wu'an State-owned Assets Management Co., Ltd. 15.9%, Shen Yuping (individual) 29.5%, Ren Nianshun (individual) 19.5%, other individual sharehAvg BF-BOF",China,China,"36.660278, 113.993995",operating,2003,0,0,0,0,0,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hebei Xin Wu'an Steel Group Hongrong Iron and Steel Co., Ltd.","Wu'an State-owned Assets Management Co., Ltd. 15.88%, Hebei Province Wu'an City Yuanbaoshan Industrial Group Co., Ltd. 18.14%, other individual sharehAvg BF-BOF",China,China,"36.640411, 113.981172",operating,1984,2250,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hebei Xinjin Iron and Steel Co., Ltd.","Gangfu (China) Co., Ltd. 77.97%, Hebei Xinjin Mining Co., Ltd. 5.31%, Wu'an State-owned Assets Management Co., Ltd. 1.23%, other individual sharehAvg BF-BOF",China,China,"36.715632, 114.208992",operating,1993,0,0,0,0,0,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hebei Xinghua Iron and Steel Co., Ltd.","Hebei Xinghua Iron and Steel Co., Ltd. 100%: Chen Maochun 51%, Wang Shuhua 49%",China,China,"36.744936, 114.111602",operating,2002,2000,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Tangshan Xinbaotai Iron and Steel Co., Ltd.","Tangshan Youmeng Trading Co., Ltd 50%, Beijing Jianlong Investment Co., Ltd. 29.18%, Beijing Shanshui Yongming Investment Co., Ltd. 1.86%, Shanghai Fosun Industrial Technology Development Co., Ltd. 12.85%, Shanghai Junneng Industry Limited Company 6.11%",China,China,"39.861425, 118.03667",operating,2002,3000,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Tangshan Jinma Steel Group Co., Ltd.","Tangshan Jinma Steel Group Co., Ltd. 100%: Zhang Ruipeng 85%, Ma Dehong 15%",China,China,"39.700499, 118.456775",operating,2009,2400,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hebei Xinda Iron and Steel Co., Ltd.","Tangshan Xinfengsheng Trading Co., Ltd. 72.56%, Wang Yanli (individual) 27.44%",China,China,"39.898362, 118.579364",operating,2002,7500,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Tangshan Fengnan Kaiheng Iron and Steel Co., Ltd.","Tangshan Fengnan Kaiheng Iron and Steel Co., Ltd. 100%: Pan Liqing 60%, Zhao Xiuli 40%",China,China,"39.466982, 118.255142",operating,2002,0,0,0,0,1,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Tangshan Guoyi Special Type Iron and Steel Co., Ltd.","Su Guoliu (individual) 49.9669%, Su Guotang (individual) 49.9669%, Tangshan Stainless Steel Co., Ltd. 0.045%, other sharehAvg BF-BOF",China,China,"39.659153, 118.411488",operating,2006,0,0,0,0,1,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hebei Rongxin Steel Co., Ltd.","Hebei Rongxin Steel Co., Ltd. 100%: Gong Wanqin 72.7%, Gong Cuihua 25.16%, Wu Bo 1.07%, Zhang Jianhua 1.07%",China,China,"39.880661, 118.558755",operating,2002,0,0,0,0,1,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Tangshan Donghai Iron and Steel Group Co., Ltd.","Tangshan Donghai Iron and Steel Group Co., Ltd. (Yu Jianming (95.83%), Wei Cunqing (2.08%), Lin Guowang (2.08%))",China,China,"39.748373, 118.624794",operating,2003,6000,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Tangshan Chunxing Special Steel Co., Ltd.","Hebei Chunxing Industrial Group Co., Ltd. 79.16%, Wei Changjie (individual) 15.83%, Hegang Group Co., Ltd. 3.2%, Huabao Trust Co., Ltd. 0.24%, China Metallurgical Science and Technology Co., Ltd. 1.19%, Jinghuarigang Steel Pipe Industry Co., Ltd. 0.22%, other sharehAvg BF-BOF",China,China,"39.676326, 118.427914",operating,2003,0,0,0,0,1,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Tangshan Wenfeng Special Steel Co., Ltd.","Cambodia Rongfeng Investment Co., Ltd. 62.5%, Hebei Wenfeng Industrial Group Co., Ltd. 36.35%, Tangshan Zhengmao Trading Co., Ltd. 1.15%",China,China,"39.146541, 118.432261",operating,2007,1000,1000,0,1,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hebei Tianzhu Iron and Steel Group Co., Ltd.","Hebei Tianzhu Iron and Steel Group Co., Ltd. 100%: Meng Lanzhi 60%, Wang Yiqian 20%, Wang Shuchuan 20%",China,China,"39.803524, 118.205663",operating,2003,0,0,0,0,1,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hebei Huaxi Iron and Steel Co., Ltd.","Jiangsu Huaxi Group Co., Ltd. 43.88%, Wuxi Financial Investment Co., Ltd. 43%, Luannan Xinggang Iron and Steel Co., Ltd. 13.12%",China,China,"39.51833, 118.715766",operating,2002,1200,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Qinhuangdao Hongxing Iron and Steel Co., Ltd.","Qinhuangdao Hongxing Iron and Steel Co., Ltd. 100%: Wang Zhanhong 62.6%, Zeng Zhaoxin 31.34%, Wang Guixing 6.06%",China,China,"39.700721, 118.871477",operating,2002,5000,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Xinji Aosen Iron & Steel Co., Ltd.","Xinji Aosen Iron & Steel Co., Ltd. 100%: Cao Yuebin 60%, Liu Xiang 40%",China,China,"37.752351, 115.184798",operating,2002,3600,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Langfang Guangyuan Metalwork Co., Ltd.",Rongsheng HAvg BF-BOF,China,China,"39.181466, 116.838667",operating,2007,0,0,0,0,1,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Heilongjiang Jianlong Iron and Steel Co., Ltd.","Beijing Jianlong Investment Co., Ltd. 74.3%, Fosun HAvg BF-BOF",China,China,"46.602297, 131.071877",operating,2003,2000,0,0,0,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Jianlong Xilin Iron and Steel Group Co., Ltd.","Beijing Jianlong Investment Co., Ltd. (71.84%), Fosun HAvg BF-BOF",China,China,"47.495036, 129.287919",operating,1966,5000,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Jianlong Beiman Special Steel Co., Ltd.","Beijing Jianlong Investment Co., Ltd. 59.12%, Fosun HAvg BF-BOF",China,China,"47.191285, 123.616512",operating,1952,1100,1100,0,1,1,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Anyang Iron & Steel Co., Ltd.","Henan People's Government 66.78%, other A-shares 33.22%",China,China,"36.122129, 114.283145",operating,1958,5000,5000,0,0,1,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Wuyang Iron and Steel Co., Ltd.","HBIS Group Co., Ltd. 53.12%, Baosteel Group Corporation 27.68%, other sharehAvg BF-BOF",China,China,"33.287536, 113.474328",operating,1970,2500,2500,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shagang Group Anyang Yongxing Special Steel Co., Ltd.","Zhangjiagang Free Trade Zone Rongrun Trade Co., Ltd. 33.64%, other sharehAvg BF-BOF",China,China,"36.143573, 114.149964",operating,1993,3000,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Angang Group Xinyang Iron and Steel Co., Ltd.",He Dianzhou (individual sharehAvg BF-BOF,China,China,"32.488704, 114.038243",operating,1970,3600,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Henan Jiyuan Iron & Steel (Group) Co., Ltd.",Henan Jiyuan Iron & Steel Investment HAvg BF-BOF,China,China,"35.086396, 112.553774",operating,1958,5000,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Nanyang Hanye Special Steel Co., Ltd.","Henan Longcheng Group Co., Ltd. 100% (Zhu Shucheng is majority stake owner, at 86.6%)",China,China,"33.269324, 111.534635",operating,2003,4000,0,0,0,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Anyang Xinpu Steel Co., Ltd.","Anyang Xinpu Steel Co., Ltd. 100%",China,China,"36.163203, 114.296223",operating,2005,2000,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Henan Fengbao Special Steel Co., Ltd.","Henan Fengbao Special Steel Co., Ltd. 100%: Li Jingmin 48%, Li Guangyuan 32%, Tian Suiguo 20%",China,China,"36.131666, 113.872158",operating,2001,3100,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Henan Yaxin Iron and Steel Group Co., Ltd.","Henan Yaxin Steel Group Co., Ltd. 100%: Li Jingzhong 34.4697%, Lin Yiwu 30.5928%, Lin Yiqun 13.32%, Lin Yiqin 10.8088%, Lin Yitan 10.8088%",China,China,"35.879956, 114.334825",operating,2003,2000,0,0,0,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Henan Changtai Stainless Steel Plate Co., Ltd.","Henan Changtai Stainless Steel Plate Co., Ltd. 100%: Li Qiaozhi 100%",China,China,"34.702951, 112.955911",operating,2008,1000,1000,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Henan Xinjinhui Stainless Steel Industry Co., Ltd.","Henan Jinhui Stainless Steel Group Co., Ltd. 80%, Changge Huida Trading Co., Ltd. 17%, Liu Minghui (individual) 3%",China,China,"34.263509, 113.853979",operating,2005,0,>0,0,0,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Anyang Huixin Special Steel Co., Ltd.","Henan Jingchang Coal Chemical Co., Ltd. 100%: Lu Kaipu 90%, Zhong Xiao 10%",China,China,"36.152418, 114.15839",operating,2004,0,0,0,0,0,0,1,Not operating,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Wuhan Iron and Steel Co., Ltd.","Baosteel Group Corporation 65.53%, other sharehAvg BF-BOF",China,China,"30.616222, 114.444975",operating,1955,9000,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Wuhan Iron & Steel Group Echeng Iron & Steel Co., Ltd.",Baosteel Group Corporation 100%,China,China,"30.39574, 114.861313",operating,1958,3000,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hubei Xinyegang Steel Co., Ltd.",CITIC Pacific Limited,China,China,"30.204603, 115.125838",operating,1916,0,unknown,0,0,0,0,1,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Wuhan Shunle Stainless Steel Co., Ltd.","Wuhan Shunle Stainless Steet Co., Ltd. 100%: Chen Yunquan 34.83%, Li Zhonghou 25.72%, Wang Bingen 22.45%, Hubei Jinshenglan Investment Co., Ltd. 17%",China,China,"30.394434, 114.257701",operating,1994,0,1200,0,0,0,0,1,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Jingzhou Qunli Metal Products Co., Ltd.","Jingzhou Chuhang Special Steel Products Co., Ltd. 30%, Jingzhou Daren Metal Products Co., Ltd. 30%, Jingzhou Youyuan Metal Products Co., Ltd. 30%, other sharehAvg BF-BOF",China,China,"30.3505, 112.353782",operating,1999,0,1000,0,0,1,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hubei Dazhan Iron & Steel Co., Ltd.","Hubei Dazhan Steel & Iron Co., Ltd. 100%: Zhuo Xiaoqing 100%",China,China,"31.006945, 113.753023",operating,1993,0,1100,0,0,1,0,1,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Ezhou Hongtai Steel Co., Ltd.","Ezhou Hongtai Steel Co., Ltd. 100%: Chen Hui 67.18%, Li Chunhua 32.82%",China,China,"30.532352, 114.747597",operating,2003,0,1200,0,0,0,0,1,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hunan Valin Xiangtan Iron and Steel Co., Ltd.",Valin HAvg BF-BOF,China,China,"27.81413, 112.897377",operating,1958,12000,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hunan Valin Lianyuan Iron and Steel Co., Ltd.",Valin HAvg BF-BOF,China,China,"27.747782, 111.967343",operating,1958,8000,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Hengyang Valin Steel Tube Co., Ltd.",Valin HAvg BF-BOF,China,China,"26.865484, 112.576853",operating,1958,0,>0,0,0,0,0,0,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Lengshuijiang Steel Co., Ltd.","Lengshujiang Xingbo Enterprise Management Co., Ltd. 51.51%, other sharehAvg BF-BOF",China,China,"27.690401, 111.437288",operating,1958,3000,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Baotou Steel (Group) Co., Ltd.","Inner Mongolia Autonomous Region People's Government 76.83%, China Huarong Asset Management Co., Ltd. 15%, China Cinda Asset Management Co., Ltd. 6.23%, The China Orient Asset Management Co., Ltd. 1.94%",China,China,"36.355653, 113.057153",operating,1954,16500,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Chifeng Yuanlian Steel Co., Ltd.","Tangshan Jiaqi International Trade Co., Ltd. 59.99%, Harvestone International Trade Co., Ltd.Of Tianjin Port Bonded 30.01%, Chifeng Yuanjian Iron and Steel Industry Co., Ltd. 10%",China,China,"42.278115, 119.015289",operating,2002,3000,0,0,1,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Inner Mongolia Baotou Jiyu Iron and Steel Co., Ltd.","Ren Junde (individual) 51%, Inner Mongolia Jiyu HAvg BF-BOF",China,China,"40.662, 109.696243",operating,2002,1500,0,0,1,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Inner Mongolia Desheng Metal Products Co., Ltd.","Inner Mongolia Desheng Industrial Group Co., Ltd. 57.14%, individual corporate sharehAvg BF-BOF",China,China,"39.867015, 106.890377",operating,2011,1095,0,0,1,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Baotou Da'an Iron and Steel Co., Ltd.","Baotou Da'an Iron and Steel Co., Ltd. 100%: Liu Jindong 61.83%, Jiang Jiahui 38.17%",China,China,"40.662343, 109.698333",operating,2002,1200,0,0,1,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Inner Mongolia Yaxin Longshun Special Steel Co., Ltd.","Inner Mongolia Baotou Jiyu Iron and Steel Co. , Ltd. 100%: Lin Yiwu 60%, Li Jingzhong 40%",China,China,"40.689778, 110.214707",operating,2005,2000,0,0,1,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Jiangsu Shagang Group Co., Ltd.","Shen Wenrong (individual) 38.16%, Hengde International Co., Ltd. 37.63%, other sharehAvg BF-BOF",China,China,"31.983146, 120.638992",operating,1975,7500,7500,0,1,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Jiangsu Shagang Group Huaigang Special Steel Co., Ltd.","Jiangsu Shagang Group Co., Ltd. 17%, Jiangsu Shagang Co., Ltd. 15.45%, other sharehAvg BF-BOF",China,China,"33.566039, 118.988442",operating,1970,1600,1600,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Nanjing Iron and Steel Group Co., Ltd.","Nanjing Municipal People's Government State-owned Assets Supervision and Administration Commission 49%, Nanjing Iron and Steel Group Co., Ltd. Trade Union Committee 18.4%, other individual sharehAvg BF-BOF",China,China,"32.190776, 118.750214",operating,1958,1500,1500,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Nanjing Iron & Steel Co., Ltd.",Fosun HAvg BF-BOF,China,China,"32.200797, 118.746315",operating,1958,10000,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Jiangyin Xingcheng Special Steel Works Co., Ltd.","Yan Link Steel Co., Ltd. 67.66%, other sharehAvg BF-BOF",China,China,"31.950191, 120.328449",operating,1993,3450,3450,0,1,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Jiangsu Yonggang Group Co., Ltd.","Zhangjiagang City Yongrun Investment Development Co., Ltd. 39.7%, Wu Huifang (individual) 21.9%, Jiangsu Shagang Group Co., Ltd. 15.79%, other sharehAvg BF-BOF",China,China,"31.855205, 120.730505",operating,1984,5000,0,0,1,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Zenith Steel Group Co., Ltd.","Zenith Steel Group Co., Ltd. 100%: Dong Caiping 57.2%, other sharehAvg BF-BOF",China,China,"31.707656, 120.079591",operating,2001,6000,6000,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Changshu Longteng Special Steel Co., Ltd.","Changshu Longteng Special Steel Co., Ltd. 100%: Ji Bingyuan 75%, Xu Caiyun 25%",China,China,"31.723833, 120.835685",operating,1993,2150,2150,0,1,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Jiangsu Shente Steel Co. Ltd.,"Prosperity Materials (International) Co., Ltd. 50%, Shente Steel Group 50%",China,China,"31.471123, 119.485941",operating,2002,3300,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Jiangsu Binxin Special Steel Material Co., Ltd.","Liangyungang Ganyu Zhongcheng Investment Co., Ltd. 87.27%, Chen Jiarong (individual) 12.73%",China,China,"35.09556, 119.279989",operating,2008,6000,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Lianyungang Xingxin Iron and Steel Co., Ltd.","Lianyungang Xingxin Iron and Steel Co., Ltd. 100%: Wang Airui 30.45%, Chen Shubiao 10.65%, Wang Yuanting 10.53%, other sharehAvg BF-BOF",China,China,"34.38381, 119.786878",operating,2003,3000,0,0,1,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Jiangsu Xugang Iron and Steel Group Co., Ltd.","Jiangsu Xugang Iron and Steel Group Co., Ltd.: Wang Aiqin 73.86%, Wang Jiawang 8.46%, Wei Xiaowu 7.96%, Liu Baowei 5.15%, Lin Dongfang 4.57%",China,China,"34.577016, 117.339638",operating,2003,6050,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Jiangsu New Yangtze Industrial Group Co., Ltd.","Jiangyin Lingang Economic Development Zone Changjiang Village Federation of Trade Unions 95%, Villager Committee of Changjiang Village, Xiagang Street, Jiangyin City 5%",China,China,"31.919883, 120.205802",operating,1972,3500,0,0,1,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Changzhou Eastern Special Steel Co., Ltd.","Changzhou Dongrun Special Steel Co., Ltd. 90%, Dai Li (individual) 10%",China,China,"31.602554, 119.724256",operating,2010,1800,1800,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Danyang Longjiang Steel Co., Ltd.","Hong Kong Fortune Dynasty Co., Ltd. 67.17%, Chen Xiufang 32.83%",China,China,"32.027791, 119.57706",operating,2003,1500,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Yangzhou Qinyou Special Metal Materials Co., Ltd.","Yangzhou Qinyou Special Metal Materials Co., Ltd. 100%: Chen Lei 34%, Chen Jiarong 33%, Zeng Zhaoqian 33%",China,China,"32.838703, 119.425236",operating,2001,2400,0,0,0,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Wuxi Xinsanzhou Steel Co., Ltd.","Wuxi Xinsanzhou Steel Co., Ltd.: Lin Chunli 32.42%, Lin Yongfeng 26.13%, Zheng Kaixiang 26.13%, Song Mulin 7.64%, Jiang Jianmin 5.46%, Lin Yuxiu 2.22%",China,China,"31.681005, 120.251785",operating,1986,2300,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Jiangyin Huaxi Iron and Steel Co., Ltd.","Village Committee of Huaxi New City, Huashi Town, Jiangyin City 99.9%, Jiangyin Huaxi Community Service Center 0.1%",China,China,"31.816482, 120.424347",operating,2002,2100,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Posco (Zhangjiagang) Stainless Steel Co., Ltd.",POSCO HAvg BF-BOF,China,China,"31.980237, 120.571455",operating,1997,0,1140,0,1,0,0,1,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Jiangsu Suxin Special Steel Group Co., Ltd.","Peking University 65.75%, other sharehAvg BF-BOF",China,China,"31.400644, 120.475103",operating,1957,0,>0,0,0,0,0,1,EAF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Zhong Xin Iron and Steel Group Co., Ltd.","Zhong Xin Iron and Steel Group Co., Ltd. 100%: Li Tingyun 51.9%, Li Minghao 17.8%, Chen Jindeng 15.3%, Li Tingxiong 15%",China,China,"34.368618, 118.31556",operating,2003,3500,0,0,0,0,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Shanghai Meishan Iron and Steel Co., Ltd.","Baosteel Group Corporation 50.9%, other sharehAvg BF-BOF",China,China,"31.902969, 118.61667",operating,1969,7000,0,0,0,0,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Fangda Special Steel Technology Co., Ltd.","Fang Wei (individual) 30.9%, Jiangxi Fangda Iron and Steel Group Co., Ltd. 24.71%, Fangda Iron and Steel-CITIC Securities-18 Fanggang EB Guarantee and Trust Property Special Account 19.73%, other A-shares 24.66%",China,China,"28.645441, 115.99204",operating,1958,4000,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Pingxiang Pinggang Anyuan Iron & Steel Co., Ltd.","Jiangxi Pxsteel Industrial Co., Ltd. 100%",China,China,"27.645550, 113.902126",operating,1954,2650,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Jiujiang Pinggang Iron and Steel Co., Ltd.","Jiangxi Pxsteel Industrial Co., Ltd. 100%",China,China,"29.778431, 116.27527",operating,2003,4700,0,0,0,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Xinyu Steel Group Co., Ltd.","Jiangxi Foreign Trade Asset Operation Co., Ltd. 100%",China,China,"27.786859, 114.921595",operating,1958,10000,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Jilin Jianlong Steel Group Co., Ltd.","Zhang Zhixiang 55.73%, Fosun HAvg BF-BOF",China,China,"44.011951, 126.537086",operating,2001,3000,0,0,0,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Tonghua Steel Group Co., Ltd.",Shougang Corporation 100%,China,China,"41.779125, 126.022349",operating,1958,4110,0,0,0,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Jilin Xinda Iron and Steel Co., Ltd.","Jilin Province Xinda Steel Co., Ltd. 100%: Wang Songwei 82%, Liu Fengli 18%",China,China,"42.3249, 125.246892",operating,2007,2000,0,0,0,0,0,0,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
"Jilin Jingang Iron and Steel Co., Ltd.","Yatai Northeast Asia Resources Co., Ltd. 34.3%, Jilin Penglai German Trading Co., Ltd. 20.9%, other sharehAvg BF-BOF",China,China,"43.200230, 124.335697",operating,1979,1500,0,0,1,0,0,0,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Angang Steel Company Limited,"Anshan Steel Group Corporation 53.33%, H-shares 14.86%, other A-shares 31.81%",China,China,"41.148267, 122.983054",operating,1916,1600,0,0,0,1,0,1,Avg BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
Angang Steel Company Limited Bayuquan branch,"Anshan Steel Group Corporation 53.33%, H-shares 14.86%, other A-shares 31.81%",China,China,"40.308494, 122.13079",operating,2006,5000,0,0,1,1,0,1,BAT BF-BOF,Global Steel Plant Tracker (by Global Energy Monitor),Archetype Matrix
